,Creation Time,Terminal Time,Current Time,Creation-Terminal Time,Terminal-Current Time,Creation-Current Time,Bid,Ask,BrokerName,Terminal,Protocol,Period,Symbol,Ask_Diff,Bid_Diff,UP,Spread,OpeningTime,ClosingTime,TypeBroker,DR
11528,2020-11-23 14:25:51.671000,2020-11-23 14:25:51.671000,2020-11-23 14:25:51.675789,0.0,4.789,4.789,0.73212,0.73213,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,9.99999999995449e-06,0,1e-05,179.1,,,
11529,2020-11-23 14:25:53.603000,2020-11-23 14:25:53.603000,2020-11-23 14:25:53.607789,0.0,4.789,4.789,0.73211,0.73213,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-9.99999999995449e-06,0,1e-05,179.1,,,
11530,2020-11-23 14:25:54.723000,2020-11-23 14:25:54.842000,2020-11-23 14:25:54.846787,119.0,4.787,123.787,1.18965,1.18976,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,9.999999999843467e-06,1.0000000000065512e-05,1,0.00011,179.1,,MM,REAL
11531,2020-11-23 14:25:54.801000,2020-11-23 14:25:54.920000,2020-11-23 14:25:54.924787,119.0,4.787,123.787,1.18964,1.18975,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,-9.999999999843467e-06,-1.0000000000065512e-05,-1,0.00011,179.1,,MM,REAL
11532,2020-11-23 14:25:54.953000,2020-11-23 14:25:54.953000,2020-11-23 14:25:54.981789,0.0,28.789,28.789,0.73212,0.73213,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,9.99999999995449e-06,0,1e-05,179.1,,,
11533,2020-11-23 14:25:55.251000,2020-11-23 14:25:55.251000,2020-11-23 14:25:55.255787,0.0,4.787,4.787,0.73211,0.73213,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-9.99999999995449e-06,0,1e-05,179.1,,,
11534,2020-11-23 14:25:55.443000,2020-11-23 14:25:55.443000,2020-11-23 14:25:55.447789,0.0,4.789,4.789,0.73211,0.73212,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-9.99999999995449e-06,0.0,0,1e-05,179.1,,,
11535,2020-11-23 14:25:55.592000,2020-11-23 14:25:55.592000,2020-11-23 14:25:55.596789,0.0,4.789,4.789,0.73211,0.73212,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,0.0,0,1e-05,179.1,,,
11536,2020-11-23 14:25:55.653000,2020-11-23 14:25:55.653000,2020-11-23 14:25:55.657789,0.0,4.789,4.789,0.73211,0.73211,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-9.99999999995449e-06,0.0,0,1e-05,179.1,,,
11537,2020-11-23 14:25:56.044000,2020-11-23 14:25:56.044000,2020-11-23 14:25:56.049788,0.0,5.788,5.788,0.7321,0.73211,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-1.0000000000065512e-05,0,1e-05,179.1,,,
11538,2020-11-23 14:25:57.978000,2020-11-23 14:25:57.978000,2020-11-23 14:25:57.982788,0.0,4.788,4.788,0.7321,0.7321,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-1.0000000000065512e-05,0.0,0,1e-05,179.1,,,
11539,2020-11-23 14:25:58.038000,2020-11-23 14:25:58.038000,2020-11-23 14:25:58.042789,0.0,4.789,4.789,0.7321,0.73211,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,1.0000000000065512e-05,0.0,0,1e-05,179.1,,,
11540,2020-11-23 14:25:58.263000,2020-11-23 14:25:58.382000,2020-11-23 14:25:58.386952,119.0,4.952,123.952,1.18963,1.18974,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,-1.0000000000065512e-05,-1.0000000000065512e-05,-1,0.00011,179.1,,MM,REAL
11541,2020-11-23 14:25:58.360000,2020-11-23 14:25:58.479000,2020-11-23 14:25:58.483952,119.0,4.952,123.952,1.18962,1.18973,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,-1.0000000000065512e-05,-1.0000000000065512e-05,-1,0.00011,179.1,,MM,REAL
11542,2020-11-23 14:25:58.593000,2020-11-23 14:25:58.593000,2020-11-23 14:25:58.597952,0.0,4.952,4.952,1.18966,1.1897,Dom Maklerski mBanku,MT4,ZMQ,60,EURUSD,-2.0000000000131024e-05,-2.0000000000131024e-05,-1,5e-05,179.1,,MM,DEMO
11543,2020-11-23 14:25:58.672000,2020-11-23 14:25:58.791000,2020-11-23 14:25:58.797951,119.0,6.951,125.951,1.1896,1.18971,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,-1.999999999990898e-05,-1.999999999990898e-05,-1,0.00011,179.1,,MM,REAL
11544,2020-11-23 14:25:58.821000,2020-11-23 14:25:58.821000,2020-11-23 14:25:58.856952,0.0,35.952,35.952,1.18956,1.18972,Dom Maklerski Banku Ochrony Srodowiska S.A.,MT4,ZMQ,60,EURUSD,-4.999999999988347e-05,-5.0000000000105516e-05,-1,0.00016,179.1,,MM,DEMO
11545,2020-11-23 14:25:58.843000,2020-11-23 14:25:58.843000,2020-11-23 14:25:58.914951,0.0,71.951,71.951,0.7321,0.7321,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-1.0000000000065512e-05,0.0,0,1e-05,179.1,,,
11546,2020-11-23 14:25:58.863000,2020-11-23 14:25:58.863000,2020-11-23 14:25:58.969977,0.0,106.977,106.977,1.18964,1.18969,Dom Maklerski mBanku,MT4,ZMQ,60,EURUSD,-1.0000000000065512e-05,-1.999999999990898e-05,-1,5e-05,179.1,,MM,DEMO
11547,2020-11-23 14:25:59.156000,2020-11-23 14:25:59.156000,2020-11-23 14:25:59.160950,0.0,4.95,4.95,0.73208,0.73209,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-9.99999999995449e-06,-2.0000000000020002e-05,-1,1e-05,179.1,,,
11548,2020-11-23 14:25:59.185000,2020-11-23 14:25:59.185000,2020-11-23 14:25:59.214976,0.0,29.976,29.976,0.73208,0.7321,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,9.99999999995449e-06,0.0,0,1e-05,179.1,,,
11549,2020-11-23 14:25:59.956000,2020-11-23 14:25:59.956000,2020-11-23 14:25:59.960975,0.0,4.975,4.975,0.73209,0.7321,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,1.0000000000065512e-05,0,1e-05,179.1,,,
11550,2020-11-23 14:26:00.331000,2020-11-23 14:26:00.331000,2020-11-23 14:26:00.335952,0.0,4.952,4.952,1.18964,1.18968,Dom Maklerski mBanku,MT4,ZMQ,60,EURUSD,-9.999999999843467e-06,0.0,0,5e-05,179.1,,MM,DEMO
11551,2020-11-23 14:26:00.753000,2020-11-23 14:26:00.753000,2020-11-23 14:26:00.757952,0.0,4.952,4.952,0.73208,0.7321,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-1.0000000000065512e-05,0,1e-05,179.1,,,
11552,2020-11-23 14:26:00.948000,2020-11-23 14:26:00.948000,2020-11-23 14:26:00.952950,0.0,4.95,4.95,0.73208,0.73208,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-2.0000000000020002e-05,0.0,0,1e-05,179.1,,,
11553,2020-11-23 14:26:00.924000,2020-11-23 14:26:01.043000,2020-11-23 14:26:01.047325,119.0,4.325,123.325,1.18958,1.1897,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,-1.0000000000065512e-05,-1.999999999990898e-05,-1,0.00011,179.1,,MM,REAL
11554,2020-11-23 14:26:01.034000,2020-11-23 14:26:01.153000,2020-11-23 14:26:01.157303,119.0,4.303,123.303,1.18955,1.18968,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,-1.999999999990898e-05,-2.999999999997449e-05,-1,0.00011,179.1,,MM,REAL
11555,2020-11-23 14:26:01.375000,2020-11-23 14:26:01.375000,2020-11-23 14:26:01.379321,0.0,4.321,4.321,1.18961,1.18965,Dom Maklerski mBanku,MT4,ZMQ,60,EURUSD,-2.999999999997449e-05,-2.999999999997449e-05,-1,5e-05,179.1,,MM,DEMO
11556,2020-11-23 14:26:02.022000,2020-11-23 14:26:02.141000,2020-11-23 14:26:02.145326,119.0,4.326,123.326,1.18957,1.18969,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,9.999999999843467e-06,1.999999999990898e-05,1,0.00011,179.1,,MM,REAL
11557,2020-11-23 14:26:02.266000,2020-11-23 14:26:02.266000,2020-11-23 14:26:02.270295,0.0,4.295,4.295,1.18961,1.18966,Dom Maklerski mBanku,MT4,ZMQ,60,EURUSD,9.999999999843467e-06,0.0,0,5e-05,179.1,,MM,DEMO
11558,2020-11-23 14:26:02.440000,2020-11-23 14:26:02.440000,2020-11-23 14:26:02.444920,0.0,4.92,4.92,0.73207,0.73208,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-9.99999999995449e-06,0,1e-05,179.1,,,
11559,2020-11-23 14:26:02.820000,2020-11-23 14:26:02.820000,2020-11-23 14:26:02.824925,0.0,4.925,4.925,0.73208,0.7321,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,2.0000000000020002e-05,9.99999999995449e-06,1,1e-05,179.1,,,
11560,2020-11-23 14:26:08.217000,2020-11-23 14:26:08.217000,2020-11-23 14:26:08.221922,0.0,4.922,4.922,0.73208,0.73209,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-9.99999999995449e-06,0.0,0,1e-05,179.1,,,
11561,2020-11-23 14:26:08.308000,2020-11-23 14:26:08.308000,2020-11-23 14:26:08.312920,0.0,4.92,4.92,0.73208,0.73208,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-1.0000000000065512e-05,0.0,0,1e-05,179.1,,,
11562,2020-11-23 14:26:08.339000,2020-11-23 14:26:08.339000,2020-11-23 14:26:08.367925,0.0,28.925,28.925,0.73207,0.73208,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,0.0,-9.99999999995449e-06,0,1e-05,179.1,,,
11563,2020-11-23 14:26:08.509000,2020-11-23 14:26:08.509000,2020-11-23 14:26:08.513920,0.0,4.92,4.92,0.73207,0.73209,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,1.0000000000065512e-05,0.0,0,1e-05,179.1,,,
11564,2020-11-23 14:26:09.723000,2020-11-23 14:26:09.842000,2020-11-23 14:26:09.847896,119.0,5.896,124.896,1.18955,1.18967,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,-1.999999999990898e-05,-1.999999999990898e-05,-1,0.00011,179.1,,MM,REAL
11565,2020-11-23 14:26:09.931000,2020-11-23 14:26:09.931000,2020-11-23 14:26:09.935895,0.0,4.895,4.895,0.73207,0.73208,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-1.0000000000065512e-05,0.0,0,1e-05,179.1,,,
11566,2020-11-23 14:26:10.201000,2020-11-23 14:26:10.201000,2020-11-23 14:26:10.205895,0.0,4.895,4.895,1.1896,1.18963,Dom Maklerski mBanku,MT4,ZMQ,60,EURUSD,-2.999999999997449e-05,-1.0000000000065512e-05,-1,5e-05,179.1,,MM,DEMO
11567,2020-11-23 14:26:10.222000,2020-11-23 14:26:10.222000,2020-11-23 14:26:10.264924,0.0,42.924,42.924,0.73206,0.73206,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-1.999999999990898e-05,-9.99999999995449e-06,-1,1e-05,179.1,,,
11568,2020-11-23 14:26:10.352000,2020-11-23 14:26:10.352000,2020-11-23 14:26:10.356894,0.0,4.894,4.894,0.73202,0.73202,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-4.0000000000040004e-05,-4.0000000000040004e-05,-1,1e-05,179.1,,,
11569,2020-11-23 14:26:10.477000,2020-11-23 14:26:10.477000,2020-11-23 14:26:10.481895,0.0,4.895,4.895,1.18952,1.18968,Dom Maklerski Banku Ochrony Srodowiska S.A.,MT4,ZMQ,60,EURUSD,-4.0000000000040004e-05,-4.0000000000040004e-05,-1,0.00016,179.1,,MM,DEMO
11570,2020-11-23 14:26:10.619000,2020-11-23 14:26:10.619000,2020-11-23 14:26:10.623925,0.0,4.925,4.925,1.18959,1.18963,Dom Maklerski mBanku,MT4,ZMQ,60,EURUSD,0.0,-1.0000000000065512e-05,0,5e-05,179.1,,MM,DEMO
11571,2020-11-23 14:26:10.753000,2020-11-23 14:26:10.753000,2020-11-23 14:26:10.757895,0.0,4.895,4.895,0.732,0.73201,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-9.99999999995449e-06,-2.0000000000020002e-05,-1,1e-05,179.1,,,
11572,2020-11-23 14:26:11.388000,2020-11-23 14:26:11.388000,2020-11-23 14:26:11.393895,0.0,5.895,5.895,0.73199,0.732,International Capital Markets Pty Ltd.,MT4,ZMQ,60,AUDUSD,-1.0000000000065512e-05,-9.99999999995449e-06,-1,1e-05,179.1,,,
11573,2020-11-23 14:26:11.855000,2020-11-23 14:26:11.974000,2020-11-23 14:26:11.978894,119.0,4.894,123.894,1.18954,1.18966,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,-1.0000000000065512e-05,-1.0000000000065512e-05,-1,0.00011,179.1,,MM,REAL
11574,2020-11-23 14:26:12.105000,2020-11-23 14:26:12.224000,2020-11-23 14:26:12.228895,119.0,4.895,123.895,1.18952,1.18962,OANDA DIVISION1,MT4,ZMQ,60,EURUSD,-4.0000000000040004e-05,-2.0000000000131024e-05,-1,0.00011,179.1,,MM,REAL
