,Creation Time,Terminal Time,Current Time,X,Y,Z,Bid,Ask,TypeBroker,BrokerName,DR,Terminal,Protocol,Symbol
61,2020-08-04 10:40:15.565000,2020-08-04 10:40:15.575000,2020-08-04 10:40:15.579097,10.0,4.097,14.097,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
62,2020-08-04 10:40:15.674000,2020-08-04 10:40:15.684000,2020-08-04 10:40:15.688098,10.0,4.098,14.098,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
63,2020-08-04 10:40:15.783000,2020-08-04 10:40:15.793000,2020-08-04 10:40:15.797098,10.0,4.098,14.098,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
64,2020-08-04 10:40:15.899000,2020-08-04 10:40:15.909000,2020-08-04 10:40:15.913092,10.0,4.092,14.092,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
65,2020-08-04 10:40:16.006000,2020-08-04 10:40:16.016000,2020-08-04 10:40:16.020066,10.0,4.066,14.066,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
66,2020-08-04 10:40:16.113000,2020-08-04 10:40:16.123000,2020-08-04 10:40:16.127067,10.0,4.067,14.067,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
67,2020-08-04 10:40:16.225000,2020-08-04 10:40:16.235000,2020-08-04 10:40:16.239097,10.0,4.097,14.097,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
68,2020-08-04 10:40:16.333000,2020-08-04 10:40:16.343000,2020-08-04 10:40:16.347099,10.0,4.099,14.099,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
69,2020-08-04 10:40:16.440000,2020-08-04 10:40:16.450000,2020-08-04 10:40:16.454093,10.0,4.093,14.093,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
70,2020-08-04 10:40:16.552000,2020-08-04 10:40:16.562000,2020-08-04 10:40:16.566092,10.0,4.092,14.092,1.17779,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
71,2020-08-04 10:40:16.567000,2020-08-04 10:40:16.577000,2020-08-04 10:40:16.592068,10.0,15.068,25.068,1.17776,1.17791,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
72,2020-08-04 10:40:16.662000,2020-08-04 10:40:16.672000,2020-08-04 10:40:16.676094,10.0,4.094,14.094,1.17776,1.17791,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
73,2020-08-04 10:40:16.708000,2020-08-04 10:40:16.718000,2020-08-04 10:40:16.722092,10.0,4.092,14.092,1.17778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
74,2020-08-04 10:40:16.772000,2020-08-04 10:40:16.782000,2020-08-04 10:40:16.786093,10.0,4.093,14.093,1.17778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
75,2020-08-04 10:40:16.865000,2020-08-04 10:40:16.875000,2020-08-04 10:40:16.879067,10.0,4.067,14.067,1.1778,1.17794,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
76,2020-08-04 10:40:16.880000,2020-08-04 10:40:16.890000,2020-08-04 10:40:16.906098,10.0,16.098,26.098,1.1778,1.17794,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
77,2020-08-04 10:40:16.925000,2020-08-04 10:40:16.935000,2020-08-04 10:40:16.939066,10.0,4.066,14.066,1.1778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
78,2020-08-04 10:40:16.988000,2020-08-04 10:40:16.998000,2020-08-04 10:40:17.002102,10.0,4.102,14.102,1.1778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
79,2020-08-04 10:40:17.101000,2020-08-04 10:40:17.111000,2020-08-04 10:40:17.115068,10.0,4.068,14.068,1.1778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
80,2020-08-04 10:40:17.183000,2020-08-04 10:40:17.193000,2020-08-04 10:40:17.197069,10.0,4.069,14.069,1.17781,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
81,2020-08-04 10:40:17.208000,2020-08-04 10:40:17.218000,2020-08-04 10:40:17.223092,10.0,5.092,15.092,1.17781,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
82,2020-08-04 10:40:17.315000,2020-08-04 10:40:17.325000,2020-08-04 10:40:17.329092,10.0,4.092,14.092,1.17781,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
83,2020-08-04 10:40:17.424000,2020-08-04 10:40:17.434000,2020-08-04 10:40:17.438092,10.0,4.092,14.092,1.17781,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
84,2020-08-04 10:40:17.536000,2020-08-04 10:40:17.546000,2020-08-04 10:40:17.550093,10.0,4.093,14.093,1.17781,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
85,2020-08-04 10:40:17.574000,2020-08-04 10:40:17.584000,2020-08-04 10:40:17.588096,10.0,4.096,14.096,1.1778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
86,2020-08-04 10:40:17.651000,2020-08-04 10:40:17.661000,2020-08-04 10:40:17.666092,10.0,5.092,15.092,1.1778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
87,2020-08-04 10:40:17.755000,2020-08-04 10:40:17.765000,2020-08-04 10:40:17.769125,10.0,4.125,14.125,1.1778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
88,2020-08-04 10:40:17.863000,2020-08-04 10:40:17.873000,2020-08-04 10:40:17.877129,10.0,4.129,14.129,1.1778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
89,2020-08-04 10:40:17.971000,2020-08-04 10:40:17.981000,2020-08-04 10:40:17.985100,10.0,4.1,14.1,1.1778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
90,2020-08-04 10:40:18.081000,2020-08-04 10:40:18.091000,2020-08-04 10:40:18.095125,10.0,4.125,14.125,1.1778,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
91,2020-08-04 10:40:18.151000,2020-08-04 10:40:18.161000,2020-08-04 10:40:18.165100,10.0,4.1,14.1,1.17781,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
92,2020-08-04 10:40:18.188000,2020-08-04 10:40:18.198000,2020-08-04 10:40:18.202124,10.0,4.124,14.124,1.17781,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
93,2020-08-04 10:40:18.303000,2020-08-04 10:40:18.313000,2020-08-04 10:40:18.317100,10.0,4.1,14.1,1.17781,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
94,2020-08-04 10:40:18.413000,2020-08-04 10:40:18.423000,2020-08-04 10:40:18.427128,10.0,4.128,14.128,1.17781,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
95,2020-08-04 10:40:18.426000,2020-08-04 10:40:18.436000,2020-08-04 10:40:18.453125,10.0,17.125,27.125,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
96,2020-08-04 10:40:18.519000,2020-08-04 10:40:18.529000,2020-08-04 10:40:18.533100,10.0,4.1,14.1,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
97,2020-08-04 10:40:18.626000,2020-08-04 10:40:18.636000,2020-08-04 10:40:18.640125,10.0,4.125,14.125,1.17779,1.17793,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
98,2020-08-04 10:40:18.636000,2020-08-04 10:40:18.646000,2020-08-04 10:40:18.666126,10.0,20.126,30.126,1.17777,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
99,2020-08-04 10:40:18.737000,2020-08-04 10:40:18.747000,2020-08-04 10:40:18.751125,10.0,4.125,14.125,1.17777,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
100,2020-08-04 10:40:18.847000,2020-08-04 10:40:18.857000,2020-08-04 10:40:18.861100,10.0,4.1,14.1,1.17777,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
101,2020-08-04 10:40:18.957000,2020-08-04 10:40:18.967000,2020-08-04 10:40:18.971125,10.0,4.125,14.125,1.17777,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
102,2020-08-04 10:40:19.066000,2020-08-04 10:40:19.076000,2020-08-04 10:40:19.080101,10.0,4.101,14.101,1.17777,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
103,2020-08-04 10:40:19.174000,2020-08-04 10:40:19.184000,2020-08-04 10:40:19.188128,10.0,4.128,14.128,1.17777,1.17792,MM,OANDA DIVISION1,REAL,MT4,ZMQ,EURUSD
