Time,O,H,L,C,V
02/10/2019 00:00:00,1.09342,1.09414,1.09337,1.09391,2132
02/10/2019 01:00:00,1.09392,1.09403,1.09372,1.09372,1825
02/10/2019 02:00:00,1.09373,1.09378,1.09328,1.09372,1886
02/10/2019 03:00:00,1.09373,1.09381,1.09348,1.09366,1267
02/10/2019 04:00:00,1.09365,1.09368,1.09317,1.09336,1113
02/10/2019 05:00:00,1.09336,1.09372,1.09328,1.09359,1599
02/10/2019 06:00:00,1.09358,1.09358,1.09236,1.0924,4075
02/10/2019 07:00:00,1.09242,1.09266,1.09168,1.092,5598
02/10/2019 08:00:00,1.09199,1.092,1.09042,1.09054,5435
02/10/2019 09:00:00,1.09054,1.09189,1.09046,1.09186,4713
02/10/2019 10:00:00,1.09188,1.09232,1.09155,1.09205,4239
02/10/2019 11:00:00,1.09206,1.0935,1.09189,1.0929,4891
02/10/2019 12:00:00,1.0929,1.09328,1.09158,1.09309,5778
02/10/2019 13:00:00,1.0931,1.09497,1.09294,1.09473,5852
02/10/2019 14:00:00,1.09472,1.09526,1.09374,1.0945,6873
02/10/2019 15:00:00,1.0945,1.09585,1.09442,1.09499,5717
02/10/2019 16:00:00,1.09499,1.09593,1.09458,1.09582,4033
02/10/2019 17:00:00,1.09583,1.09636,1.0955,1.09593,3857
02/10/2019 18:00:00,1.09593,1.09608,1.09562,1.0959,3019
02/10/2019 19:00:00,1.09591,1.09619,1.09574,1.09612,2384
02/10/2019 20:00:00,1.09612,1.09636,1.09576,1.09592,1648
02/10/2019 21:00:00,1.09603,1.09624,1.09599,1.09604,484
02/10/2019 22:00:00,1.09604,1.09611,1.09593,1.09594,1377
02/10/2019 23:00:00,1.09598,1.09608,1.09587,1.09606,1094
03/10/2019 00:00:00,1.09603,1.0965,1.09591,1.09605,2238
03/10/2019 01:00:00,1.09604,1.09618,1.09592,1.09601,1769
03/10/2019 02:00:00,1.09601,1.09604,1.09559,1.09581,1462
03/10/2019 03:00:00,1.09582,1.096,1.09554,1.09567,1481
03/10/2019 04:00:00,1.09568,1.09591,1.0955,1.09583,1301
03/10/2019 05:00:00,1.09584,1.09585,1.09551,1.09568,1059
03/10/2019 06:00:00,1.09567,1.09567,1.09414,1.0942,4430
03/10/2019 07:00:00,1.09418,1.09532,1.09411,1.09448,5574
03/10/2019 08:00:00,1.09445,1.09738,1.09412,1.09635,6221
03/10/2019 09:00:00,1.09635,1.09643,1.09482,1.09485,4488
03/10/2019 10:00:00,1.09486,1.09584,1.0945,1.09566,3936
03/10/2019 11:00:00,1.09564,1.09704,1.09562,1.09565,5000
03/10/2019 12:00:00,1.09564,1.09664,1.09481,1.0962,6329
03/10/2019 13:00:00,1.09621,1.09629,1.09526,1.09601,6205
03/10/2019 14:00:00,1.09621,1.09994,1.09621,1.09838,11935
03/10/2019 15:00:00,1.09839,1.0995,1.09782,1.09904,7229
03/10/2019 16:00:00,1.09903,1.09906,1.09819,1.0983,4818
03/10/2019 17:00:00,1.09829,1.0987,1.09752,1.0982,4734
03/10/2019 18:00:00,1.09818,1.09846,1.09732,1.09734,3483
03/10/2019 19:00:00,1.09735,1.09748,1.09656,1.09704,2820
03/10/2019 20:00:00,1.09703,1.09708,1.09636,1.09636,1099
03/10/2019 21:00:00,1.09639,1.09717,1.09637,1.09707,1153
03/10/2019 22:00:00,1.09719,1.09723,1.09674,1.09722,1168
03/10/2019 23:00:00,1.09724,1.09762,1.09717,1.09748,1221
04/10/2019 00:00:00,1.09747,1.09793,1.09742,1.09792,1936
04/10/2019 01:00:00,1.09791,1.09814,1.09772,1.09812,1661
04/10/2019 02:00:00,1.0981,1.09839,1.09786,1.09802,1406
04/10/2019 03:00:00,1.098,1.09802,1.09766,1.09778,1186
04/10/2019 04:00:00,1.09777,1.09778,1.09706,1.09708,989
04/10/2019 05:00:00,1.09709,1.09743,1.09679,1.09692,1740
04/10/2019 06:00:00,1.09693,1.09784,1.09655,1.0966,4076
04/10/2019 07:00:00,1.0966,1.0975,1.09643,1.0972,4801
04/10/2019 08:00:00,1.09719,1.09762,1.09685,1.09738,3714
04/10/2019 09:00:00,1.09737,1.09829,1.09728,1.09788,3351
04/10/2019 10:00:00,1.09787,1.09898,1.09764,1.0989,2832
04/10/2019 11:00:00,1.0989,1.0989,1.09791,1.09815,4974
04/10/2019 12:00:00,1.09814,1.09972,1.09569,1.09648,10209
04/10/2019 13:00:00,1.09647,1.09772,1.09595,1.09702,7840
04/10/2019 14:00:00,1.097,1.09845,1.09646,1.09791,7223
04/10/2019 15:00:00,1.09792,1.09869,1.09717,1.09732,5299
04/10/2019 16:00:00,1.09731,1.0985,1.09723,1.0984,3537
04/10/2019 17:00:00,1.0984,1.09859,1.0978,1.09783,2380
04/10/2019 18:00:00,1.09774,1.0984,1.09725,1.0984,3484
04/10/2019 19:00:00,1.09835,1.09841,1.09778,1.09824,2600
04/10/2019 20:00:00,1.09827,1.09831,1.09759,1.09789,1543
06/10/2019 21:00:00,1.09797,1.09819,1.09727,1.09775,361
06/10/2019 22:00:00,1.09779,1.09836,1.09779,1.09814,1113
06/10/2019 23:00:00,1.09814,1.09839,1.09809,1.09836,943
07/10/2019 00:00:00,1.09835,1.0988,1.09814,1.0988,1920
07/10/2019 01:00:00,1.09879,1.099,1.09864,1.0987,1622
07/10/2019 02:00:00,1.09871,1.09873,1.09829,1.09844,1183
07/10/2019 03:00:00,1.09843,1.09848,1.0978,1.09802,1113
07/10/2019 04:00:00,1.09801,1.09812,1.09789,1.098,1406
