,Ask,Bid,BrokerName,Creation Time,Current Time,DR,Protocol,Symbol,Terminal,Terminal Time,TypeBroker,X,Y,Z
60,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:35.027000,2019-12-03 17:04:35.030044,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:35.027000,MM,0.0,3.044,3.044
61,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:35.145000,2019-12-03 17:04:35.149013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:35.145000,MM,0.0,4.013,4.013
62,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:35.248000,2019-12-03 17:04:35.251014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:35.248000,MM,0.0,3.014,3.014
63,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:35.353000,2019-12-03 17:04:35.357013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:35.353000,MM,0.0,4.013,4.013
64,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:35.465000,2019-12-03 17:04:35.468014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:35.465000,MM,0.0,3.014,3.014
65,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:35.577000,2019-12-03 17:04:35.580040,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:35.577000,MM,0.0,3.04,3.04
66,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:35.684000,2019-12-03 17:04:35.688014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:35.684000,MM,0.0,4.014,4.014
67,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:35.794000,2019-12-03 17:04:35.798014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:35.794000,MM,0.0,4.014,4.014
68,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:35.900000,2019-12-03 17:04:35.903013,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:35.900000,MM,0.0,3.013,3.013
69,1.10917,1.10901,Dom Maklerski Banku Ochrony Srodowiska S.A.,2019-12-03 17:04:36.014000,2019-12-03 17:04:36.018014,DEMO,ZMQ,EURUSD,MT4,2019-12-03 17:04:36.014000,MM,0.0,4.014,4.014
